comedian,sentence
Jimmy_Yang,"Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping."
Jimmy_Yang,"I’ve been dating a lot of tall girls lately, because it makes me look successful. No, no. I think tall women are beautiful. But some of them like to wear heels. That’s just disrespect. Like, you’re already five inches taller than me. Why the fuck are you wearing heels?"
Jimmy_Yang,"She’s like, it makes my ass look better. I’m like, your ass is at my eye level right now. Neither of us look good, OK? I look like a child, and you look like a child molester."
Jimmy_Yang,"Last time– the last time I took a tall girl to this concert– I don’t know if you guys know this, but apparently, tall people have fun at concerts. Are you guys aware of that?"
Jimmy_Yang,I’m 5′ 5″. I just go to concerts to smell other people’s armpits. I’m like what the fuck’s the point of this?
Jimmy_Yang,"She was having the time of her life, doing whatever tall people do at concerts, you know, jumping around, obstructing other people’s views, seeing everything."
Jimmy_Yang,"I was frustrated. I had enough. So I just looked up at her, I was like, hey! Pick me up. This is bullshit. I paid for these tickets, OK? I want to see Billy Eilish, too. Come on."
Russell_Peters,"He goes, look, you’re a 48-year-old Indian man. I’m like, that’s really fucking racist, but since you asked, I have acid reflux."
Russell_Peters,There is no way you can be Indian and not have fucking acid reflux. It’s inevitable.
Russell_Peters,"There’s no way you can consume the food that we eat with that much spice, and that much oil, and that much butter, and not just have it burn a hole in your– as my dad would say– your esophagus."
Russell_Peters,"Dad, I want to assure you I have no phagus in me. No, no, son, esophagus. I don’t care whose phagus you think this is."
Russell_Peters,"I’m looking at all of you, especially all the pudgy guys. You know exactly who has it. You got it, don’t you, yellow guy? You do, do you. He’s like, I know, I have it, but I don’t want to say because my shirt looks like turmeric."
John_Mulaney,"We made these big piles of clothes, we put the piles into these big boxes, then we put the boxes into the back of my car, and then they stayed there for four months."
John_Mulaney,"One day my wife said, 'Hey, you took that stuff to Goodwill, right?' And I said, 'Of course I did! On an unrelated note, I’m going to walk out the front door right now.'"
John_Mulaney,"It was charitable, but it was also fast and violent, because I was throwing boxes at people."
John_Mulaney,"The boxes were so heavy I couldn’t even say what was in them. I was like, 'This one’s shirts. I got a bunch of shirts! Take ’em away!"
John_Mulaney,"The guy tried to give me a big receipt. He’s like, 'Take this receipt for the clothing for your taxes.' How do I write that on my taxes? 'Dear IRS, please deduct from my federal income tax one XXL Billabong T-shirt from youth. It was too big. My mom said it could be a sleep shirt. Please deduct this from my 2017 income.'"
John_Mulaney,"That sleep shirt bullshit. 'Well, if it’s too big you can just wear it as a sleep shirt.' No, I get that, Mom, but why don’t we just tell our relatives that I’m a four-year-old boy and I don’t wear a man’s XXL T-shirt?"
John_Mulaney,"Because we don’t say that when someone gives us a gift because that would not be polite.' Oh, I get it. So rather than violate these meaningless politeness rules, I’ll just go to bed in a smock like goddamn Ebenezer Scrooge."
John_Mulaney,Why don’t you give me a candle for looking in the mirror and a floppy hat and I’ll tremble off to bed in my long Victorian nightgown?
John_Mulaney,"Was there ever even a ghost, Mother, or was the dead Victorian girl you saw just me all along?"
