comedian,sentence
Anthony_Jeselnik,"""When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday."""
Anthony_Jeselnik,"""Sold my passport on the street for 300 bucks to get to go to my prom."""
Anthony_Jeselnik,"""My mom could be very racist. Very racist."""
Anthony_Jeselnik,"""When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over"
Anthony_Jeselnik_2,"- ""I've never talked to a group of people without getting paid a lot of money. How should I handle this?"""
Anthony_Jeselnik_2,"- ""Anthony, just go up there and tell a story. Find one moment about you and your grandma you can share with everybody. And don't tell a joke. Try not to."""
Anthony_Jeselnik_2,"- ""And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word"
Ali_Wong,"""It was like the worst experience of my life."""
Ali_Wong,"""It was so emotional."""
Ali_Wong,"""I was screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual."""
Ali_Wong,"""Those of you under 25 probably don’t know what that calculator is."""
Ali_Wong,"""It was like the Tesla of my time."""
Ali_Wong,These quotes are the most absurd in the stand-up comedy transcript. They are all
Ali_Wong_2,"""Cause she knows that she’s got a century more to go."""
Ali_Wong_2,"""Her Mexican friends, dead."""
Ali_Wong_2,"""I’m just kidding. She doesn’t have any black friends."""
Ali_Wong_2,"""Old Asian ladies and the sun are like the Tupac and Biggie of longevity."""
Ali_Wong_2,These sentences are the most absurd in the stand-up comedy transcript. They are all about the speaker's negative outlook on life and his lack of friends.
Chelsea_Peretti,"- ""It was a photoset of 500 photos."""
Chelsea_Peretti,"- ""To the future!"""
Chelsea_Peretti,"- ""Uh-oh, it's us again."""
Chelsea_Peretti,"- ""My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out."""
Chelsea_Peretti,These quotes are the most absurd in the stand-up comedy transcript. They are all about the absurdity of the woman's relationship and her obsession
Chelsea_Peretti_2,"- ""It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole."""
Chelsea_Peretti_2,"- ""Whoa, whoa, whoa!"""
Chelsea_Peretti_2,"- ""I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty."""
Chelsea_Peretti_2,These quotes are the most absurd in the stand-up comedy transcript because they are the most explicit and sexually suggestive.
Donald_Glover,"- ""Tears, he was giving me this mean mug, he was like… I was like, what the fuck is wrong with this kid? What’s going on with this kid?"""
Donald_Glover,"- ""He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general, so he would just come through and just…He wanted to get to his slide, so he just pushed over"
Donald_Glover_2,"- ""Oh, this is awful, this is so messed up. I can't believe this happened so close to us."""
Donald_Glover_2,"- ""Yeah, well, ""if anybody ever tries to rape me, I'm just gonna shit on 'em."""
Donald_Glover_2,"- ""Yes, I will. I have no problem."""
Donald_Glover_2,"- ""Oh God, no!"""
Donald_Glover_2,"- ""I can poop whenever I want to? Like, you can just poop whenever you want? Like, you got..."
Hasan_Minhaj,"- ""Ah, Biju got slapped on his birthday!"""
Hasan_Minhaj,"- ""That kid won $30,000 cash. Nothing."""
Hasan_Minhaj,"- ""I’m fucked. I’m fucked. The bar is way too high. I should kill myself."""
Hasan_Minhaj,"- ""That kid won the Scripps National Spelling Bee."""
Hasan_Minhaj,These sentences are the most absurd in the stand-up comedy transcript. They are all about the
Hasan_Minhaj_2,"- ""Alright, you guys are all killing it academically but I want you to know there is more to life than just getting into UC Berkeley."""
Hasan_Minhaj_2,"- ""I know, getting into Stanford."""
Hasan_Minhaj_2,"- ""No, you have to live a life worth talking about, which is why I’m making it mandatory for everyone in this class to go to prom."""
Hasan_Minhaj_2,"- ""Hanson, this is not funny."""
Hasan_Minhaj_2,"- ""Whatever, it’s not going to happen. He can"
Iliza_Shlesinger,"- ""It's so homey. I'd like to stay forever."""
Iliza_Shlesinger,"- ""Welcome to Fuckdome, Scott."""
Iliza_Shlesinger,"- ""It's so hard. In your 20s, it's a weird mental game. Boy's coming over for the first time, you're trying to reconcile the beautiful home that your mother kept that you lived in growing up, with the beautiful home that, like, Pinterest says you're supposed to have."""
Iliza_Shlesinger_2,"- ""You don’t want to wear your civilian clothes, okay."""
Iliza_Shlesinger_2,"- ""I don’t mean no, but… no means no."""
Iliza_Shlesinger_2,"- ""It’s frustrating. You know, girls, it’d be like if you have the worst day, you came home to your boyfriend, like… ‘I had the worst day. I got fired, and… I cried in front of everyone and… I ate that French fry from my car. It was just such"
Jim_Gaffigan,"""I ate abusively for 40 years."""
Jim_Gaffigan,"""That doesn't seem fair. I am now at the size, when I go in clothing stores sales people look at me like, 'We got nothing for you. And you can't use our bathroom.'"""
Jim_Gaffigan,"""When I go out to eat, if I order a salad, the waiter's always like, 'Aw. Look at you try.'"""
Jim_Gaffigan,"""I've always talked about my weight in my stand"
Jim_Gaffigan_2,"“I went, I went.”"
Jim_Gaffigan_2,“Dog didn’t know it was his birthday.”
Jim_Gaffigan_2,“Someone made that up and we just went along with it.”
Jim_Gaffigan_2,"“There’s not a dog sitting in a bar right now going, “I’m not three, I’m 21! I can legally drink!”"
Jim_Gaffigan_2,“You’re back! It’s a miracle! You’re back after I don’t know how long ’cause I’m a
Joe_List,"""Ear, nose, throat. ""Who do ya need?"""
Joe_List,"""I'm Bill, this is Susan, and Ted. ""Ear, nose, throat."""
Joe_List,"""Tin-uh-dus. ""Who do ya need?"""
Joe_List,"""Oh, I guess it's pronounced tin-uh-dus."""
Joe_List,"""Shit, now I don't know how to say this word."""
Joe_List,"""Tomato, to-mah-to."""
Joe_List,"""However you say it. If you"
Joe_List_2,"- ""You're like what a fucking idiot back there."""
Joe_List_2,"- ""I wanted him to die, I swear to God."""
Joe_List_2,"- ""I'm a rock and roll guy. I love Guns N' Roses, I'm cool."""
Joe_List_2,"- ""You're gonna die!"""
Joe_List_2,These are the sentences that I find to be the most absurd in the stand-up comedy transcript.
John_Mulaney,"""My wife and I just gave a bunch of stuff to Goodwill. We were moving apartments, we had a bunch of clothes and furniture, so we made a whole day out of it. We made these big piles of clothes, we put the piles into these big boxes, then we put the boxes into the back of my car, and then they stayed there for four months."""
John_Mulaney,"""And then one day my wife said, “Hey, you took that stuff to Goodwill, right?” And"
John_Mulaney_2,- The hottest ticket in town.
John_Mulaney_2,- The Bruno Mars of assemblies.
John_Mulaney_2,- Detective JJ Bittenbinder wore three-piece suits.
John_Mulaney_2,- He also wore a pocket watch.
John_Mulaney_2,"- Two years in a row, he wore a cowboy hat."
John_Mulaney_2,- He also had a huge handlebar mustache.
John_Mulaney_2,- He did not look like his job description. He looked like he should be the conductor on a locomotive powered by confetti.
John_Mulaney_2,These quotes are the most absurd in the stand-up
Jimmy_Yang,"""Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping."""
Jimmy_Yang,"""I’m 5′ 5″. I just go to concerts to smell other people’s armpits."""
Jimmy_Yang,"""Are you guys aware of that? I’m 5′ 5″. I just go to concerts to smell other people’s armpits."""
Jimmy_Yang,Can you please help me extract the sentences
Jimmy_Yang_2,"""Old Asian people, they don't watch TV. They judge the TV."""
Jimmy_Yang_2,"""He's just sitting there, arms folded, judging the TV like–He's made some random noises around the house."""
Jimmy_Yang_2,"""It's just like, achoo! Oh! Ay, shit.Oh! I'm like, what the fuck, Dad, just have an orgasm? What was that?"""
Jimmy_Yang_2,These are the sentences that I find to be the most absurd in the
Louis_CK,"- ""He was?"""
Louis_CK,"- ""I don't think so."""
Louis_CK,"- ""That's okay, it already happened."""
Louis_CK,"- ""You fucking think about it, you idiot."""
Louis_CK,"- ""What d– What was he then?"""
Louis_CK,"- ""That finally makes sense."""
Louis_CK,"- ""I'm the little guy on it!"""
Louis_CK,Can you please help me extract these sentences and explain why they are the most absurd?
Louis_CK,"Sure, here are the sentences you requested:"
Louis_CK_2,"""Dogs are so dumb, it’s fucking tragic."""
Louis_CK_2,"""They're in our lives and they know nothing about what's happening."""
Louis_CK_2,"""I know you! Ha!"""
Louis_CK_2,"""They're so stupid! Incredibly stupid animals."""
Louis_CK_2,"""I don't even know my own life, I can't even handle my own life mentally."""
Louis_CK_2,"""There it is, right there. It's right there."""
Louis_CK_2,Can you identify the most absurd sentences in the
Nate_Bargatze,"- ""Did you name her after Harper Lee, the author of To Kill a Mockingbird?"""
Nate_Bargatze,"- ""I love how innocent it is. They cry over a tag in their shirt."""
Nate_Bargatze,"- ""She just sits there on her iPad a lot."""
Nate_Bargatze,"- ""It's not like a show. I'd be fine if she watched a show."""
Nate_Bargatze,"- ""She watches just a kid that's like, ""Hey, you don't have this toy, I do"
Nate_Bargatze_2,"- ""Homework's fun."""
Nate_Bargatze_2,"- ""Okay, learning it earlier than we used to, huh?"""
Nate_Bargatze_2,"- ""It's a new math they invented, no heads up."""
Nate_Bargatze_2,"- ""You just want to keep breaking the problem down."""
Nate_Bargatze_2,"- ""Oh! Just do that at the top. I don't even know what we're doing."""
