comedian,sentence
Anthony_Jeselnik,"""When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday."""
Anthony_Jeselnik,"""When I was a kid, we were poor."""
Anthony_Jeselnik,"""Sold my passport on the street for 300 bucks to get to go to my prom."""
Anthony_Jeselnik,"""My mom could be very racist."""
Anthony_Jeselnik,"""When I was a kid, like nine years old, I’d come home after school. Once in a"
Anthony_Jeselnik_2,"- ""I've never talked to a group of people without getting paid a lot of money. How should I handle this?"""
Anthony_Jeselnik_2,"- ""Anthony, just go up there and tell a story. Find one moment about you and your grandma you can share with everybody. And don't tell a joke. Try not to."""
Anthony_Jeselnik_2,"- ""And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word"
Ali_Wong,"""It was like the worst experience of my life."""
Ali_Wong,"""It was this calculator that bamboozled my generation."""
Ali_Wong,"""I’m not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that’s not the way for me to achieve my optimum level of success."""
Ali_Wong,These quotes are the least funny in the stand-up comedy transcript.
Ali_Wong_2,"""All of her white friends, dead."""
Ali_Wong_2,"""Her Mexican friends, dead."""
Ali_Wong_2,"""Black friends, dead."""
Ali_Wong_2,"""I'm just kidding. She doesn't have any black friends."""
Ali_Wong_2,"""Old Asian ladies and the sun are like the Tupac and Biggie of longevity."""
Ali_Wong_2,These sentences are the least funny in the stand-up comedy transcript. They are all about the speaker's negative outlook on life and his lack of friends. While the other sentences are all
Chelsea_Peretti,- It was a photoset of 500 photos.
Chelsea_Peretti,- “To the future!”
Chelsea_Peretti,"- “Uh-oh, it’s us again.”"
Chelsea_Peretti,"- “My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.”"
Chelsea_Peretti,The sentences that are the least funny in this stand-up comedy transcript are:
Chelsea_Peretti,"- ""It was a photoset of 500 photos"
Chelsea_Peretti_2,"- ""It's actually to stop them from sweating, because why would you, you know, as a human?"""
Chelsea_Peretti_2,"- ""Hi, everyone, same old me."""
Chelsea_Peretti_2,"- ""It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole."""
Chelsea_Peretti_2,"- ""Whoa, whoa, whoa!"""
Chelsea_Peretti_2,"- ""I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty"
Donald_Glover,"- ""This mean kid, and I remember the first time I saw him, I opened the door and there were tears streaming down his face, tears streaming down his face, but he wasn’t crying."""
Donald_Glover,"- ""He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general, so he would just come through and just…He wanted to get to his slide, so"
Donald_Glover_2,"- ""Oh, this is awful, this is so messed up. I can't believe this happened so close to us."""
Donald_Glover_2,"- ""Yeah, well, ""if anybody ever tries to rape me, I'm just gonna shit on ’em."""
Donald_Glover_2,"- ""Yes, I will. I have no problem."""
Donald_Glover_2,"- ""Oh God, no!"""
Donald_Glover_2,"- ""I can't do it, I can't do it, I'm not… Me and my butt"
Hasan_Minhaj,"""Are you fucking kidding? Thirteen episodes for this kid? Are you kidding me? Do you know when br0wn kids get slapped? Every br0wn birthday party. And usually it’s the kid whose birthday it is, and we stand there and point and laugh. We go, “Ah, Biju got slapped on his birthday!” And that’s what makes us tough and resilient. It’s why we become cardiologists and win spelling bees."""
Hasan_Minhaj,"""That kid won"
