comedian,model,truth,score
Donald_Glover,"I was babysitting this kid once, this mean kid, and I remember the first time I saw him, I opened the door and there were tears streaming down his face, tears streaming down his face, but he wasn’t crying.","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,He wasn’t crying.,"He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"Just tears, he was giving me this mean mug, he was like… I was like, what the fuck is wrong with this kid?","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,What’s going on with this kid?,"He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"I found out later that his parents were very organic and they wouldn’t let him have any sugar, they wouldn’t let him have any candy.","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,He would… The sweetest thing he was allowed was mints.,"He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,He was just allowed to have mints.,"He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,So he would steal mints by the handful.,"He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,So his breath was so fresh… the vapors from his own mouth made his eyes water.,"He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"Like, he’d be like, “Hello!” And then like… Just, they would just bleed… It was crazy.","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"I would take him to the park, right?","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"Washington Square Park, and all the babysitters in New York for some reason are Trinidadian.","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,They’re all Trinidadian babysitters.,"He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"And I would take him to the park and I was the only boy there, you know, I was hanging out.","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"You know, they were cool.","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"You know, we’d trade jerk- chicken recipes and stuff.","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"And he… he was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general, so he would just come through and just…He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, “Hey!","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"You leave that little girl alone.” And he goes, “Shut up.” And she goes, “Don’t you talk to me like that, I am a grown-up, you will respect me.” And he goes, “Suck my d!ck!” And the lady goes… I shit you not… The lady goes, “Someone betta get this little niglet away from me.”","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"I was babysitting this kid once, this mean kid, and I remember the first time I saw him, I opened the door and there were tears streaming down his face, tears streaming down his face, but he wasn’t crying.",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,He wasn’t crying.,He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"Just tears, he was giving me this mean mug, he was like… I was like, what the fuck is wrong with this kid?",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,What’s going on with this kid?,He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"I found out later that his parents were very organic and they wouldn’t let him have any sugar, they wouldn’t let him have any candy.",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,He would… The sweetest thing he was allowed was mints.,He would... The sweetest thing he was allowed was mints.,0.9
Donald_Glover,He was just allowed to have mints.,He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,So he would steal mints by the handful.,He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,So his breath was so fresh… the vapors from his own mouth made his eyes water.,He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"Like, he’d be like, “Hello!” And then like… Just, they would just bleed… It was crazy.",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"I would take him to the park, right?",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"Washington Square Park, and all the babysitters in New York for some reason are Trinidadian.",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,They’re all Trinidadian babysitters.,He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"And I would take him to the park and I was the only boy there, you know, I was hanging out.",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"You know, they were cool.",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"You know, we’d trade jerk- chicken recipes and stuff.",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"And he… he was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general, so he would just come through and just…He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, “Hey!",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"You leave that little girl alone.” And he goes, “Shut up.” And she goes, “Don’t you talk to me like that, I am a grown-up, you will respect me.” And he goes, “Suck my d!ck!” And the lady goes… I shit you not… The lady goes, “Someone betta get this little niglet away from me.”",He would... The sweetest thing he was allowed was mints.,0.0
