comedian,sentence
Anthony_Jeselnik,Sold my passport on the street for 300 bucks to get to my prom
Anthony_Jeselnik,"Weird joke to clap for, but sure."
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11. I think.
Anthony_Jeselnik,And I do not tolerate racism. That’s ignorance and I hate that.
Anthony_Jeselnik,"Shut up, Mom, that’s racist. Put your money away."
Anthony_Jeselnik,"Most of them are in jail, to be honest."
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word."
Anthony_Jeselnik_2,"Now I promise you… I promise you… until you’ve heard your grandfather gasp at his own wife’s funeral… …at a Methodist Church in Vicksburg, Mississippi… you are not a real comedian."
Anthony_Jeselnik_2,"I am a real comedian. I am a pure comedian. I think I’m one of the best comedians of all time."""
Ali_Wong,Don’t ever do that with your mom.
Ali_Wong,It was so emotional. We were screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual.
Ali_Wong,She don’t even know… where the calculator is.
Ali_Wong,It was this calculator that bamboozled my generation. We were all required to buy it when we were in eight grade. It cost like $200. And everybody thought it could graph. It was like the Tesla of my time.
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis. ‘Cause she knows that she’s got a century more to go."
Ali_Wong_2,I’m just kidding. She doesn’t have any black friends.
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?"
Ali_Wong_2,"Old Chinese ladies, they don’t give a fuck. They got no shame."""
Ali_Wong_2,They do that ’cause it’s a free activity. For them.
Chelsea_Peretti,"It’s like that wedding portraiture, where it’s just like, two assholes back to back in the woods, just like… [laughing shrilly] “To the future!"
Chelsea_Peretti,"[giggles shrilly] “Uh-oh, it’s us again.” [trills]"
Chelsea_Peretti,"She calls him by a word that I really feel is one of the more disgusting words in the English language. She calls him her “hubby,” which, to me is on par with the “N” word."
Chelsea_Peretti_2,People say I look just like you.
Chelsea_Peretti_2,"It’s actually to stop them from sweating, because why would you, you know, as a human?"
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole"
Chelsea_Peretti_2,"Is that a good trade? like, kind of a deal with the devil."
Chelsea_Peretti_2,"Oh, ho, ho, ho."""
Donald_Glover,"tears streaming down his face, but he wasn’t crying. He wasn’t crying. Just tears, he was giving me this mean mug"""
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.
Donald_Glover,"the vapors from his own mouth made his eyes water"""
Donald_Glover,"And then like… Just, they would just bleed… It was crazy."
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” “Yes, I will. I have no problem.”"
Donald_Glover_2,"Number one, he’s a rapist. So his tolerance for gross stuff is probably pretty high. It’s probably pretty high."""
Donald_Glover_2,"You can shit on command? Like, you can just… You can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God, no!”"
Hasan_Minhaj,"Are you fucking kidding? Thirteen episodes for this kid?"""
Hasan_Minhaj,Do you know when br0wn kids get slapped? Every br0wn birthday party.
