comedian,sentence
Anthony_Jeselnik,"So poor I remember, just so I could go to my senior prom, just so I could go to my senior prom, I had to sell my U.S. passport on the street. Sold my passport on the street for 300 bucks to get to go to my prom"
Anthony_Jeselnik,"Of course this was before 9/11 so… my bad, everybody."
Anthony_Jeselnik,"My mom actually should’ve been on one of the planes that crashed on 9/11. I think."""
Anthony_Jeselnik,My mom could be very racist. Very
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.”"
Anthony_Jeselnik_2,"Now I promise you… I promise you… until you’ve heard your grandfather gasp at his own wife’s funeral… …at a Methodist Church in Vicksburg, Mississippi… you are not a real comedian."
Ali_Wong,Don’t ever do that with your mom. It was like the worst experience of my life
Ali_Wong,It all came to a climax when she refused to let go of a Texas Instruments TI-82… manual. The manual. She don’t even know… where the calculator is.
Ali_Wong,It was this calculator that bamboozled my generation. We were
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis. ‘Cause she knows that she’s got a century more to go."
Ali_Wong_2,"I’m just kidding. She doesn’t have any black friends. Life is not Rush Hour, the movie, OK?"
Ali_Wong_2,"And when I say be there for me, I mean pay for me when my husband isn’t around to support me anymore."
Ali_Wong_2,I’m not trying to be one of those old Chinese ladies who recycles for
Chelsea_Peretti,"It’s like that wedding portraiture, where it’s just like, two assholes back to back in the woods, just like… “To the future!"
Chelsea_Peretti,"Uh-oh, it’s us again.”"
Chelsea_Peretti,"She calls him her “hubby,” which, to me is on par with the “N” word. Like let’s… Let’s eradicate both."
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He"
Chelsea_Peretti_2,People say I look just like you.”** (The absurdity of this comment on a model\'s photo is the punchline)
Chelsea_Peretti_2,"Do you know that women Botox their armpits?""** (Sets up the unexpected and humorous premise)"
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.”** (The unexpected and gross punchline)"
Chelsea_Peretti_2,"Is that a good trade? like, kind of a deal with the devil.""** (Humorous rhetorical question highlighting the absurdity of"
Donald_Glover,"He wasn’t crying. Just tears, he was giving me this mean mug, he was like…"
Donald_Glover,"The sweetest thing he was allowed was mints. He would… The sweetest thing he was allowed was mints. So he would steal mints by the handful. So his breath was so fresh… the vapors from his own mouth made his eyes water."""
Donald_Glover,"Like, he’d be like, “Hello!” And then like… Just, they would just bleed…"
Donald_Glover_2,"Yeah, well, if anybody ever tries to rape me, I’m just gonna shit on ’em. “Yes, I will. I have no problem."
Donald_Glover_2,"Number one, he’s a rapist. So his tolerance for gross stuff is probably pretty high. It’s probably pretty high."
Donald_Glover_2,"Number two… you can shit on command? Like, you can just… You can just poop whenever you want to?"
Donald_Glover_2,"Like… You can poop whenever you want? Like, you got… You’re"
Hasan_Minhaj,Are you fucking kidding? Thirteen episodes for this kid? Are you kidding me?
Hasan_Minhaj,"Do you know when br0wn kids get slapped? Every br0wn birthday party. And usually it’s the kid whose birthday it is, and we stand there and point and laugh. We go, “Ah, Biju got slapped on his birthday!” And that’s what makes us tough and resilient. It’s why we become cardiologists and win spelling bees. Slapping is important. It elevates your game."
Hasan_Minhaj_2,"Alright, you guys are all killing it academically but I want you to know there is more to life than just getting into UC Berkeley."
Hasan_Minhaj_2,"I know, getting into Stanford."
Hasan_Minhaj_2,"No, you have to live a life worth talking about, which is why I’m making it mandatory for everyone in this class to go to prom."
Hasan_Minhaj_2,"All 30 of us? We’re all going to prom? AP Calc? Us? Me, Jehovah’s Witness girl, Korean exchange students, going to the prom"
Iliza_Shlesinger,"Granted, I’m not married yet, so, technically, I’ve only had beginnings of relationships. I don’t know. I can’t say empirically how fun being married is. I’ll tell you on the next comedy special what that’s all about.""** (Humorous self-deprecation and anticipation for future material)"
Iliza_Shlesinger,"It’s ostensibly like your girlfriend audition time. You want him to come in and be, like, “It’s so homey. I’d like to stay forever.” Yes, come closer.'"
Iliza_Shlesinger_2,"You don’t want to wear… what you wore during the day. Don’t want work clothes. You don’t want to wear your daytime clothes, ’cause… ’cause it’s nighttime.""** (Humorous exaggeration of the obvious)"
Iliza_Shlesinger_2,"You don’t want to wear nipple tassels.""** (Absurd suggestion for a first date outfit)"
Iliza_Shlesinger_2,"The blood’s gonna go from here to his dick, he’s gonna impale himself, he’s gonna sue you, and you ain’t got no'"
Jim_Gaffigan,I don’t know what happened. All I did was eat abusively for 40 years. And suddenly I’m fat? That doesn’t seem fair.
Jim_Gaffigan,"When I go out to eat, if I order a salad, the waiter’s always like, “Aw. Look at you try.” I’m always afraid he’s gonna gather the whole staff, “The fat pig is trying, the fat pig is trying, I…"
Jim_Gaffigan,"But now after shows people are like, “Good show.”"
Jim_Gaffigan_2,I have friends that are mentally ill
Jim_Gaffigan_2,The dog was surprised. Didn’t suspect a thing. Dog didn’t know it was his birthday. The dog didn’t know it had a birthday. The dog wasn’t sure why people were in the apartment.
Jim_Gaffigan_2,"Someone made that up and we just went along with it. Oh, one year equals seven for doggies? Okay. When I see a dog, I’ll do math. That’s not fulfilling some dog need, you know?"
Joe_List,"I was hoping it was three doctors saving money, by sharing a small office.""** (Humorous expectation of a multi-doctor setup)"
Joe_List,"Ear, nose, throat. “Who do ya need?” And they all kinda.""** (Implied comedic scenario of the doctors\' introduction)"
Joe_List,"I thought it was called tinnitus, but then I watched a YouTube video, and the doctor in the video, he kept saying “tin-uh-dus.”** (Relatable experience of conflicting information online)"
Joe_List_2,"You feel better than everybody behind you, don’t you?"
Joe_List_2,"Embarrassing, loser."
Joe_List_2,Am I a psycho or is that annoying?
Joe_List_2,"I wanted him to die, I swear to God."
Joe_List_2,"First of all, you don’t need to make a noise when you yawn. That’s a decision, he’s deciding to do that."
Joe_List_2,"People who yawn out loud, they want attention."
John_Mulaney,And then they stayed there for four months.
John_Mulaney,"On an unrelated note, I’m going to walk out the front door right now."
John_Mulaney,"It was charitable, but it was also fast and violent, because I was throwing boxes at people."""
John_Mulaney,"The boxes were so heavy I couldn’t even say what was in them. I was like, “This one’s shirts. I got a bunch of shirts! Take ’em away!”"
John_Mulaney,"How do I write that on my taxes? “Dear IRS, please deduct from my federal income"
John_Mulaney_2,"Stranger Danger, the hottest ticket in town. The Bruno Mars of assemblies.""** (Hyperbole and unexpected comparison)"
John_Mulaney_2,"You are gathered together as a school and you are told never to talk to an adult that you don’t know and you are told this by an adult that you don’t know.""** (Irony and absurdity)"
John_Mulaney_2,"Detective JJ Bittenbinder. Go ahead and laugh. His name is ridiculous. That was his name. It was JJ Bittenbinder.""** (Repetition and emphasis on the ridiculous name)"
Jimmy_Yang,"Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping"
Jimmy_Yang,"I’ve been dating a lot of tall girls lately, because it makes me look successful. No, no. I think tall women are beautiful. But some of them like to wear heels. That’s just disrespect. Like, you’re already five inches taller than me. Why the fuck are you wearing heels?"
Jimmy_Yang,"She’s like, it makes my ass look better. I’m like"
Jimmy_Yang_2,"my parents, they’re like negative 9 generation, because they’re so frickin’ Chinese."
Jimmy_Yang_2,"old Asian people, they don’t watch TV. They judge the TV."
Jimmy_Yang_2,"He’s just sitting there, arms folded, judging the TV like–"
Jimmy_Yang_2,"He’s made some random noises around the house. Now whenever he sneezes, it’s never just a sneeze. It’s like a whole tsunami of sound waves that comes after. It’s just like, achoo! Oh! Ay, shit"
Louis_CK,I don’t think so.”** (The friend's disbelief sets up the absurdity of the situation)
Louis_CK,"that’s okay, it already all happened. Doesn’t matter where you think.”** (A nonchalant response to a serious claim, adding to the humor)"
Louis_CK,"You fucking think about it, you idiot.”** (The comedian's frustration and bluntness are funny)"
Louis_CK,"What d– What was he then? You’re… What, was he Presbyterian? What was he? Catholic?"
Louis_CK_2,I know you! Ha!
Louis_CK_2,Incredibly stupid animals.
Louis_CK_2,"I didn’t see what happened. I’m sorry, I… I don’t know anything now. Please help."
Louis_CK_2,And the dog just looks at your finger ’cause there’s just no way he’s gonna get this concept that there’s an invisible line… …that he can follow with his imagination.
Louis_CK_2,"There it is, right there. It’s right there."
Nate_Bargatze,"Did you name her after Harper Lee, the author of To Kill a Mockingbird?"" And, you know, I’ve never thought about an author a day in my life, so… That never occurred to me. I mean, my middle name is Lee, and it just never crossed my mind.** (Humorous because of the unexpected and relatable admission of not being a literary person."
Nate_Bargatze,"I love when kids cry, it’s just innocent. I love how innocent it is. They cry over a tag in their shirt. I mean, they bawl"
Nate_Bargatze_2,"Homework’s fun. First and second grade was awesome. Third grade, you’re like, “Okay.” They throw some stuff in, you’re like, “Oh, all right. All right.” It’s, uh… “Okay, learning it earlier than we used to, huh?”** (Humorous exaggeration of the shift in attitude towards homework)"
Nate_Bargatze_2,"They bring it home, you gotta watch a 40-minute YouTube video on Common Core math. I don’t even understand it.""** (Relatable frustration with the complexity"
