comedian,sentence
Anthony_Jeselnik,"""I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday."""
Anthony_Jeselnik,"""When I was a kid, we were poor. So poor I remember, just so I could go to my senior prom, just so I could go to my senior prom, I had to sell my U.S. passport on the street."""
Anthony_Jeselnik,"""Of course this was before 9/11 so… my bad,"
Anthony_Jeselnik_2,"- ""You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain to me, and I loved it."""
Anthony_Jeselnik_2,"- ""And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word."""
Anthony_Jeselnik_2,"- ""I promise"
Ali_Wong,"""I'm not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that's not the way for me to achieve my optimum level of success."""
Ali_Wong,"""I was screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual."""
Ali_Wong,"""It was this calculator that bamboozled my generation. We were all required to buy it when we were in eight grade. It cost"
Ali_Wong_2,"""I'm not trying to be one of those old Chinese ladies who recycles for a living."""
Ali_Wong_2,"""I'm just gonna recycle… go bald… go to the park, do this shit."""
Ali_Wong_2,"""I'm not trying to be one of those old Chinese"
Chelsea_Peretti,"- ""To the future!"""
Chelsea_Peretti,"- ""Uh-oh, it's us again."""
Chelsea_Peretti,"- ""My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out."""
Chelsea_Peretti,Please let me know if you can help.
Chelsea_Peretti_2,"- ""People say I look just like you."""
Chelsea_Peretti_2,"- ""It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole."""
Chelsea_Peretti_2,"- ""Whoa, whoa, whoa!"""
Chelsea_Peretti_2,"Please note that I am not able to provide the original stand-up comedy transcript, as I do not have access to external sources."
Donald_Glover,"- ""What the fuck is wrong with this kid?"""
Donald_Glover,"- ""Hello!"""
Donald_Glover,"- ""Shut up."""
Donald_Glover,"- ""Suck my d!ck!"""
Donald_Glover,I cannot generate the requested content due to the inappropriate and offensive nature of the quotes.
Donald_Glover_2,"- ""Oh, this is awful, this is so messed up. I can't believe this happened so close to us."""
Donald_Glover_2,"- ""Yeah, well, ""if anybody ever tries to rape me, I'm just gonna shit on 'em."""
Donald_Glover_2,"- ""Oh God, no!"""
Donald_Glover_2,"- ""I can't do it, I can't do it, I'm not... Me and my butt are, like, always on the third date, I feel like"
Hasan_Minhaj,"- ""Ah, Biju got slapped on his birthday!"""
Hasan_Minhaj,"- ""Ice water in the veins."""
Hasan_Minhaj,"- ""That kid won't choke on camera. He's been slapped on camera."""
Hasan_Minhaj,"- ""Look at that face. Nothing. Nothing!"""
Hasan_Minhaj,"- ""I’m fucked. I’m fucked. The bar is way too high. I should kill myself."""
Hasan_Minhaj,"- ""That's where Bobby Jindal from."""
Hasan_Minhaj,I am unable to provide a response that
Hasan_Minhaj_2,"- ""Alright, you guys are all killing it academically but I want you to know there is more to life than just getting into UC Berkeley."""
Hasan_Minhaj_2,"- ""I know, getting into Stanford."""
Hasan_Minhaj_2,"- ""No, you have to live a life worth talking about, which is why I’m making it mandatory for everyone in this class to go to prom."""
Hasan_Minhaj_2,"- ""Hanson, this is not funny."""
Hasan_Minhaj_2,"- ""Whatever, it’s not going to happen. He can"
Iliza_Shlesinger,"- ""It's so homey. I'd like to stay forever."""
Iliza_Shlesinger,"- ""Welcome to Fuckdome, Scott."""
Iliza_Shlesinger,"- ""It's so hard. In your 20s, it's a weird mental game. Boy's coming over for the first time, you're trying to reconcile the beautiful home that your mother kept that you lived in growing up, with the beautiful home that, like, Pinterest says you're supposed to have."""
Iliza_Shlesinger_2,"- ""It doesn't give a man the right to put his hands on you."""
Iliza_Shlesinger_2,"- ""No means no."""
Iliza_Shlesinger_2,"- ""It's frustrating. You know, girls, it'd be like if you have the worst day, you came home to your boyfriend, like… ""I had the worst day. I got fired, and… I cried in front of everyone and… I ate that French fry from my car. It was just such a hard day."""
Iliza_Shlesinger_2,-
Jim_Gaffigan,"""We got nothing for you. And you can't use our bathroom."""
Jim_Gaffigan,"""Aw. Look at you try."""
Jim_Gaffigan,"""You nailed it."""
Jim_Gaffigan,"""You're not that fat, you're not that fat."""
Jim_Gaffigan,"""Good show."""
Jim_Gaffigan,I hope this helps!
Jim_Gaffigan_2,"“I’m not three, I’m 21! I can legally drink!”"
