comedian,model,truth,score
Donald_Glover,"I was like, what the fuck is wrong with this kid? What's going on with this kid?","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,"He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They're all Trinidadian babysitters.","He wasn't crying. Just tears, he was giving me this mean mug, he was like...",0.0
Donald_Glover,"I was like, what the fuck is wrong with this kid? What's going on with this kid?",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,He would... The sweetest thing he was allowed was mints.,0.125
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They're all Trinidadian babysitters.",He would... The sweetest thing he was allowed was mints.,0.0
Donald_Glover,"I was like, what the fuck is wrong with this kid? What's going on with this kid?",He was just allowed to have mints. So he would steal mints by the handful.,0.0
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,He was just allowed to have mints. So he would steal mints by the handful.,0.0
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They're all Trinidadian babysitters.",He was just allowed to have mints. So he would steal mints by the handful.,0.0
Donald_Glover,"I was like, what the fuck is wrong with this kid? What's going on with this kid?",So his breath was so fresh... the vapors from his own mouth made his eyes water.,0.0
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,So his breath was so fresh... the vapors from his own mouth made his eyes water.,0.0
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They're all Trinidadian babysitters.",So his breath was so fresh... the vapors from his own mouth made his eyes water.,0.0
Donald_Glover,"I was like, what the fuck is wrong with this kid? What's going on with this kid?","And I would take him to the park and I was the only boy there, you know, I was hanging out. You know, they were cool.",0.0
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,"And I would take him to the park and I was the only boy there, you know, I was hanging out. You know, they were cool.",0.0
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They're all Trinidadian babysitters.","And I would take him to the park and I was the only boy there, you know, I was hanging out. You know, they were cool.",0.0
Donald_Glover,"I was like, what the fuck is wrong with this kid? What's going on with this kid?","You know, we'd trade jerk- chicken recipes and stuff.",0.0
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,"You know, we'd trade jerk- chicken recipes and stuff.",0.0
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They're all Trinidadian babysitters.","You know, we'd trade jerk- chicken recipes and stuff.",0.0
Donald_Glover,"I was like, what the fuck is wrong with this kid? What's going on with this kid?","And he goes, ""Shut up."" And she goes, ""Don't you talk to me like that, I am a grown-up, you will respect me.""",0.0
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,"And he goes, ""Shut up."" And she goes, ""Don't you talk to me like that, I am a grown-up, you will respect me.""",0.0
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They're all Trinidadian babysitters.","And he goes, ""Shut up."" And she goes, ""Don't you talk to me like that, I am a grown-up, you will respect me.""",0.0
Donald_Glover,"I was like, what the fuck is wrong with this kid? What's going on with this kid?",And the lady goes... I shit you not...,0.0
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,And the lady goes... I shit you not...,0.0
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They're all Trinidadian babysitters.",And the lady goes... I shit you not...,0.0
Donald_Glover_2,"Yeah, well, 'if anybody ever tries to rape me, I'm just gonna shit on 'em.' 'Yes, I will. I have no problem.'","I was hanging out in my neighborhood and this girl was jogging and we started talking about a rape that had happened in the neighborhood, and we were talking about... ""Oh, this is awful, this is so messed up. I can't believe this happened so close to us.""",0.0
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.","I was hanging out in my neighborhood and this girl was jogging and we started talking about a rape that had happened in the neighborhood, and we were talking about... ""Oh, this is awful, this is so messed up. I can't believe this happened so close to us.""",0.0
Donald_Glover_2,"I feel like, me, I'm always like, come on, let's… hurry up, let's do this. And my butt's always like, stop rushing me, when","I was hanging out in my neighborhood and this girl was jogging and we started talking about a rape that had happened in the neighborhood, and we were talking about... ""Oh, this is awful, this is so messed up. I can't believe this happened so close to us.""",0.0
Donald_Glover_2,"Yeah, well, 'if anybody ever tries to rape me, I'm just gonna shit on 'em.' 'Yes, I will. I have no problem.'","""Yes, I will. I have no problem.""",0.0
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.","""Yes, I will. I have no problem.""",0.0
Donald_Glover_2,"I feel like, me, I'm always like, come on, let's… hurry up, let's do this. And my butt's always like, stop rushing me, when","""Yes, I will. I have no problem.""",0.0
Donald_Glover_2,"Yeah, well, 'if anybody ever tries to rape me, I'm just gonna shit on 'em.' 'Yes, I will. I have no problem.'","Uh... Two things, lady.",0.0
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.","Uh... Two things, lady.",0.0
Donald_Glover_2,"I feel like, me, I'm always like, come on, let's… hurry up, let's do this. And my butt's always like, stop rushing me, when","Uh... Two things, lady.",0.0
Donald_Glover_2,"Yeah, well, 'if anybody ever tries to rape me, I'm just gonna shit on 'em.' 'Yes, I will. I have no problem.'","Number one, he's a rapist.",0.0
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.","Number one, he's a rapist.",0.0
Donald_Glover_2,"I feel like, me, I'm always like, come on, let's… hurry up, let's do this. And my butt's always like, stop rushing me, when","Number one, he's a rapist.",0.0
Donald_Glover_2,"Yeah, well, 'if anybody ever tries to rape me, I'm just gonna shit on 'em.' 'Yes, I will. I have no problem.'",It's probably pretty high. Number two... you can shit on command?,0.0
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.",It's probably pretty high. Number two... you can shit on command?,0.0
Donald_Glover_2,"I feel like, me, I'm always like, come on, let's… hurry up, let's do this. And my butt's always like, stop rushing me, when",It's probably pretty high. Number two... you can shit on command?,0.0
Donald_Glover_2,"Yeah, well, 'if anybody ever tries to rape me, I'm just gonna shit on 'em.' 'Yes, I will. I have no problem.'","That's amazing, okay? No, I can't poop whenever I want.",0.0
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.","That's amazing, okay? No, I can't poop whenever I want.",0.0
Donald_Glover_2,"I feel like, me, I'm always like, come on, let's… hurry up, let's do this. And my butt's always like, stop rushing me, when","That's amazing, okay? No, I can't poop whenever I want.",0.0
Donald_Glover_2,"Yeah, well, 'if anybody ever tries to rape me, I'm just gonna shit on 'em.' 'Yes, I will. I have no problem.'","Poop yourself right now!"" I'd be like, ""Blow my head off.""",0.0
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.","Poop yourself right now!"" I'd be like, ""Blow my head off.""",0.0
Donald_Glover_2,"I feel like, me, I'm always like, come on, let's… hurry up, let's do this. And my butt's always like, stop rushing me, when","Poop yourself right now!"" I'd be like, ""Blow my head off.""",0.0
Donald_Glover_2,"Yeah, well, 'if anybody ever tries to rape me, I'm just gonna shit on 'em.' 'Yes, I will. I have no problem.'","I can't do it, I can't do it, I'm not... Me and my butt are, like, always on the third date, I feel like. I feel like, me, I'm always like, come on, let's... hurry up, let's do this.",0.0
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.","I can't do it, I can't do it, I'm not... Me and my butt are, like, always on the third date, I feel like. I feel like, me, I'm always like, come on, let's... hurry up, let's do this.",0.0
Donald_Glover_2,"I feel like, me, I'm always like, come on, let's… hurry up, let's do this. And my butt's always like, stop rushing me, when","I can't do it, I can't do it, I'm not... Me and my butt are, like, always on the third date, I feel like. I feel like, me, I'm always like, come on, let's... hurry up, let's do this.",0.0
Donald_Glover_2,"Yeah, well, 'if anybody ever tries to rape me, I'm just gonna shit on 'em.' 'Yes, I will. I have no problem.'","And my butt's always like, stop rushing me, when the time is right. I'm not in love yet.",0.0
Donald_Glover_2,"I can poop whenever I want. Like, you can just poop whenever you want? Like, you got more superpowers than Shaft if you can poop whenever you want.","And my butt's always like, stop rushing me, when the time is right. I'm not in love yet.",0.0
Donald_Glover_2,"I feel like, me, I'm always like, come on, let's… hurry up, let's do this. And my butt's always like, stop rushing me, when","And my butt's always like, stop rushing me, when the time is right. I'm not in love yet.",0.0
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.","When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday. When I was a kid, we were poor.",0.725
Anthony_Jeselnik,My mom actually should've been on one of the planes that crashed on 9/11.,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday. When I was a kid, we were poor.",0.0
Anthony_Jeselnik,"When I was a kid, like nine years old, I'd come home after school. Once in a while, I'd bring a friend over to play with me at my house. Once in a while, I'd bring a black friend over. And when I did that,And when I did that, my mom would act weird. She'd pull me aside and say, 'Anthony, who's your new friend?'","When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday. When I was a kid, we were poor.",0.0
