comedian,sentence,k
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",1
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,1
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that",1
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",2
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,2
Anthony_Jeselnik,"I never get to see my family anymore, really. Most of them are in jail, to be honest.",2
Anthony_Jeselnik,"And we never talk, write letters or any of that shit.",2
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday",3
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,3
Anthony_Jeselnik,"Once in a while, I’d bring a black friend over. And when I did that, my mom would act weird. She’d pull me aside and say, “Anthony, who’s your new friend? Is he a drug dealer?",3
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",4
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,4
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when",4
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",5
Anthony_Jeselnik,"Of course this was before 9/11 so… my bad, everybody.",5
Anthony_Jeselnik,"I never get to see my family anymore, really. Most of them are in jail, to be honest.",5
Anthony_Jeselnik,My testimony.,5
Anthony_Jeselnik,"Shut up, Mom, that’s racist. Put your money away",5
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",6
Anthony_Jeselnik,"Sold my passport on the street for 300 bucks to get to go to my prom.I think.I mean, don’t get me wrong, I loved my mother. She was my mom, of course I loved her.",6
Anthony_Jeselnik,My mom would act weird when I brought a black friend over.,6
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",7
Anthony_Jeselnik,My mom would act weird when I brought a black friend over.,7
Anthony_Jeselnik,"She'd pull me aside and say, 'Anthony, who's your new friend? Is he a drug dealer?",7
Anthony_Jeselnik,"I never get to see my family anymore, really. Most of them are in jail, to be honest",7
Anthony_Jeselnik,Sold my passport on the street for 300 bucks to get to go to my prom,8
Anthony_Jeselnik,That’s ignorance and I hate that.,8
Anthony_Jeselnik,My mom would act weird when she saw a black friend over at our house.,8
Anthony_Jeselnik,"Shut up, Mom, that’s racist. Put your money away.",8
Anthony_Jeselnik,"I never get to see my family anymore, really",8
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",9
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,9
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that,",9
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that,",10
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,10
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a black friend over to play with me at my house.",10
Anthony_Jeselnik_2,I've never talked to a group of people without getting paid a lot of money. How should I handle this?,1
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",1
Anthony_Jeselnik_2,I'm a real comedian. I am a pure comedian. I think I'm one of the best comedians of all time.,1
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain to me, and I loved it.",2
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",2
Anthony_Jeselnik_2,I've never talked to a group of people without getting paid a lot of money. How should I handle this?,3
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",3
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.I’m a real comedian. I am a pure comedian. I think I’m one of the best comedians of all time.",3
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain to me, and I loved it. Like… Mark Twain out of my grandma’s mouth, it would just come to life.",4
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",4
Anthony_Jeselnik_2,I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?,5
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",5
Anthony_Jeselnik_2,I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?,6
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",6
Anthony_Jeselnik_2,I've never talked to a group of people without getting paid a lot of money. How should I handle this?,7
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain to me, and I loved it.",7
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain to me, and I loved it.",8
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",8
Anthony_Jeselnik_2,I've never talked to a group of people without getting paid a lot of money. How should I handle this?,9
