comedian,sentence
Anthony_Jeselnik,"Sold my passport on the street for 300 bucks to get to go to my prom. Of course this was before 9/11 so… my bad, everybody"
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11. I think
Anthony_Jeselnik,My mom could be very racist. Very racist. And I do not tolerate racism. That’s ignorance and I hate that.
Anthony_Jeselnik_2,Try not to.
Anthony_Jeselnik_2,"Mark Twain out of my grandma\'s mouth, it would just come to life."
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the \'N\' word."""
Ali_Wong,Don’t ever do that with your mom.
Ali_Wong,It was like the worst experience of my life. It was so emotional.
Ali_Wong,She don\'t even know where the calculator is.
Ali_Wong,Those of you under 25 probably don\'t know what that calculator is.
Ali_Wong,It was this calculator that bamboozled my generation.
Ali_Wong,We were all required to buy it when we were in eight grade. It cost like $200. And everybody thought it was like this Judy Jetson\'s laptop from the future.
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?"
Ali_Wong_2,I’m just kidding. She doesn’t have any black friends.
Ali_Wong_2,"Old Chinese ladies, they don\'t give a fuck. They got no shame."""
Ali_Wong_2,"They do that \'cause it\'s a free activity. For them. They do it in their... their big-ass V. Stiviano visor, their Darth Vader-Tomb Raider-Boba Fett helmet"
Chelsea_Peretti,"To the future!"" [laughing shrilly]"
Chelsea_Peretti,"Uh-oh, it\'s us again."" [trills]"
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out."
Chelsea_Peretti,My hubby shot himself in the face! His letter said he missed his name… which I just found out is Steven. Missing my hub like a mug.
Chelsea_Peretti_2,People say I look just like you.
Chelsea_Peretti_2,No! Do you know that women Botox their armpits? This is an actual thing.
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole."
Chelsea_Peretti_2,"Is that a good trade? like, kind of a deal with the devil."
Chelsea_Peretti_2,"Oh, ho, ho, ho."
Donald_Glover,"Tears streaming down his face, but he wasn’t crying. He wasn’t crying. Just tears, he was giving me this mean mug..."
Donald_Glover,He would steal mints by the handful. So his breath was so fresh... the vapors from his own mouth made his eyes water.
Donald_Glover,"Just, they would just bleed... It was crazy."
Donald_Glover,"He wanted to get to his slide, so he just pushed over this little girl, she fell over..."
Donald_Glover,"And he goes, \'Shut up.\'"
Donald_Glover_2,"You can shit on command? Like, you can just... You can just poop whenever you want to? Just be like... Hyah! He\'s like, \'Oh God, no!\'"
Donald_Glover_2,You got more superpowers than Shaft if you can poop whenever you want.
Donald_Glover_2,"Somebody can run down... down the stage right now and pull out a gun and be like, \'Shit yourself! Poop yourself right now!\' I\'d be like, \'Blow my head off.\"
Hasan_Minhaj,Are you kidding? Thirteen episodes for this kid? Are you kidding me?
