comedian,sentence
Anthony_Jeselnik,"""When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday."""
Anthony_Jeselnik,"""When I was a kid, we were poor. So poor I remember, just so I could go to my senior prom, just so I could go to my senior prom, I had to sell my U.S. passport on the street."""
Anthony_Jeselnik,"""My mom could be very racist. Very racist."""
Anthony_Jeselnik,"""When I"
Anthony_Jeselnik_2,"- ""I've never talked to a group of people without getting paid a lot of money. How should I handle this?"""
Anthony_Jeselnik_2,"- ""Anthony, just go up there and tell a story. Find one moment about you and your grandma you can share with everybody. And don't tell a joke. Try not to."""
Anthony_Jeselnik_2,"- ""And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word"
Ali_Wong,"""It was like the worst experience of my life."""
Ali_Wong,"""It was so emotional."""
Ali_Wong,"""I was screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual."""
Ali_Wong,"""Those of you under 25 probably don’t know what that calculator is."""
Ali_Wong,"""It was like the Tesla of my time."""
Ali_Wong,"""And my mom got so emotional about the manual and she was like, “You"
Ali_Wong_2,"""All of her white friends, dead."""
Ali_Wong_2,"""Her Mexican friends, dead."""
Ali_Wong_2,"""Black friends, dead."""
Ali_Wong_2,"""I'm just kidding. She doesn't have any black friends."""
Ali_Wong_2,"""Old Asian ladies and the sun are like the Tupac and Biggie of longevity."""
Ali_Wong_2,"These sentences are particularly offensive because they target specific ethnic groups and perpetuate harmful stereotypes. They are not funny or insightful, and they should not be used to teach children."
Chelsea_Peretti,"- ""It was a photoset of 500 photos."""
Chelsea_Peretti,"- ""To the future!"""
Chelsea_Peretti,"- ""Uh-oh, it's us again."""
Chelsea_Peretti,"- ""My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out."""
Chelsea_Peretti,These quotes are the most offensive in the stand-up comedy transcript. They are disrespectful and insensitive to the victims of domestic violence and sexual assault.
Chelsea_Peretti_2,"- ""It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole."""
Chelsea_Peretti_2,"- ""Whoa, whoa, whoa!"""
