comedian,sentence,p
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that",0
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.9
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.9
Anthony_Jeselnik,"Once in a while, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over.",0.9
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.91
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.91
Anthony_Jeselnik,"I never get to see my family anymore, really. Most of them are in jail, to be honest.",0.91
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday. When I was a kid, we were poor. So poor I remember, just so I could go to my senior prom, just so I could go to my senior prom, I had to sell my U.S. passport on the street. Sold my passport on the street for 300 bucks to get to go to my prom. Of course this was before 9/11 so… my bad, everybody.",0.92
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.93
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.93
Anthony_Jeselnik,"Once in a while, I’d bring a black friend over. And when I did that, my mom would act weird. She’d pull me aside and say, ‘Anthony, who’s your new friend? Is he a drug dealer?’",0.93
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.94
Anthony_Jeselnik,I sold my passport on the street for 300 bucks to get to go to my prom,0.94
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11. I think.,0.94
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.95
Anthony_Jeselnik,"Of course this was before 9/11 so… my bad, everybody.",0.95
Anthony_Jeselnik,"I’d come home after school. Once in a while, I’d bring a black friend over.",0.95
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.96
Anthony_Jeselnik,"I never get to see my family anymore, really. Most of them are in jail, to be honest.",0.96
Anthony_Jeselnik,I sold my U.S. passport on the street for 300 bucks to get to go to my prom.,0.96
Anthony_Jeselnik,"""I’m not racist, I’m just honest.",0.96
Anthony_Jeselnik,I have never encountered a drug dealer in my life.,0.96
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.97
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.97
Anthony_Jeselnik,"I never get to see my family anymore, really. Most of them are in jail, to be honest.",0.97
Anthony_Jeselnik,"Of course this was before 9/11 so… my bad, everybody.",0.97
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.98
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.98
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.99
Anthony_Jeselnik,Sold my passport on the street for 300 bucks to get to go to my prom.,0.99
Anthony_Jeselnik,"If my mom had been on one of the planes that crashed on 9/11, I think she would’ve been on the scene.",0.99
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",1
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,1
Anthony_Jeselnik,"I never get to see my family anymore, really. Most of them are in jail, to be honest.",1
Anthony_Jeselnik,"And we never talk, write letters or any of that shit.",1
Anthony_Jeselnik,"My bad, everybody.",1
Anthony_Jeselnik_2,"""I've never talked to a group of people without getting paid a lot of money. How should I handle this?",0
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",0
Anthony_Jeselnik_2,I'm a real comedian. I am a pure comedian. I think I'm one of the best comedians of all time.,0
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain to me, and I loved it.",0.9
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",0.9
Anthony_Jeselnik_2,I've never talked to a group of people without getting paid a lot of money. How should I handle this?,0.91
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the 'N' word.",0.91
Anthony_Jeselnik_2,I think I'm one of the best comedians of all time.,0.91
Anthony_Jeselnik_2,I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?,0.92
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",0.92
Anthony_Jeselnik_2,I think I’m one of the best comedians of all time.,0.92
Anthony_Jeselnik_2,I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?,0.93
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",0.93
Anthony_Jeselnik_2,I am a real comedian. I am a pure comedian. I think I’m one of the best comedians of all time.,0.93
Anthony_Jeselnik_2,I've never talked to a group of people without getting paid a lot of money. How should I handle this?,0.94
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",0.94
Anthony_Jeselnik_2,I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?,0.95
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",0.95
Anthony_Jeselnik_2,I’m a pure comedian. I am a real comedian. I think I’m one of the best comedians of all time.,0.95
Anthony_Jeselnik_2,I've never talked to a group of people without getting paid a lot of money. How should I handle this?,0.96
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",0.96
Anthony_Jeselnik_2,I'm a pure comedian. I think I'm one of the best comedians of all time.,0.96
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain to me, and I loved it.",0.97
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",0.97
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain to me, and I loved it. Like… Mark Twain out of my grandma’s mouth, it would just come to life.",0.98
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",0.98
Anthony_Jeselnik_2,I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?,0.99
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.'",0.99
Anthony_Jeselnik_2,I think I’m one of the best comedians of all time.,0.99
Anthony_Jeselnik_2,I've never talked to a group of people without getting paid a lot of money. How should I handle this?,1
Anthony_Jeselnik_2,"And then I couldn't help myself. I said, 'And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the 'N' word.'",1
Anthony_Jeselnik_2,I think I'm one of the best comedians of all time.,1
Ali_Wong,It was like the worst experience of my life. It was so emotional.,0
