comedian,sentence,p
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.1
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.1
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that,",0.1
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.2
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.2
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that,",0.2
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.3
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.3
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that,",0.3
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.4
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.4
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that,",0.4
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.5
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.5
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that,",0.5
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday.",0.6
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.,0.6
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that,",0.6
Anthony_Jeselnik,Sold my passport on the street for 300 bucks to get to go to my prom.,0.7
Anthony_Jeselnik,My mom would act weird when I brought a black friend over.,0.7
Anthony_Jeselnik,"I never get to see my family anymore, really.",0.7
