comedian,sentence
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday."
Anthony_Jeselnik,"So poor I remember, just so I could go to my senior prom, just so I could go to my senior prom, I had to sell my U.S. passport on the street. Sold my passport on the street for 300 bucks to get to go to my prom."
Anthony_Jeselnik,"Of course this was before 9/11 so… my bad, everybody. Weird"
Anthony_Jeselnik_2,I’ve never talked to a group of people without getting paid a lot of money.
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word."
Anthony_Jeselnik_2,### Solution:
Ali_Wong,It was like the worst experience of my life.
Ali_Wong,We were screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual.
Ali_Wong,She don’t even know… where the calculator is.
Ali_Wong,It was like this Judy Jetson’s laptop from the future.
Ali_Wong,I’m not trying to be a procrastinator anymore.
Ali_Wong_2,"I need children to be there for me when I’m older, when I get as old as her."
Ali_Wong_2,"And when I say be there for me, I mean pay for me when my husband isn’t around to support me anymore."
Ali_Wong_2,"Old Chinese ladies, they don’t give a fuck. They got no shame."
Ali_Wong_2,"They do it in their– their big-ass V. Stiviano visor, their Darth Vader-Tomb Raider- Boba Fett helmet."
Chelsea_Peretti,"It’s like that wedding portraiture, where it’s just like, two assholes back to back in the woods, just like… [laughing shrilly] “To the future!”"
Chelsea_Peretti,"This same girl on Facebook, all her posts and all her updates are about her husband. That’s all she seems to write or think about, but she doesn’t call him her husband, which would be awesome, and she doesn’t call him by his name, which would also be great."
Chelsea_Peretti_2,People say I look just like you.
Chelsea_Peretti_2,"It’s actually to stop them from sweating, because why would you, you know."
Chelsea_Peretti_2,"Is that a good trade? like, kind of a deal with the devil."
Chelsea_Peretti_2,"Whoa, whoa, whoa!"
Chelsea_Peretti_2,"I’m so drawn to you, but I can’t get near you! This is a whole new kind of juicy booty."
Donald_Glover,"I was like, what the fuck is wrong with this kid?"
Donald_Glover,"He was just a mean-spirited kid, like, he watched HBO just a little too early and was just kind of a mean kid in general."
Donald_Glover,"He goes, 'Suck my d!ck!'"
Donald_Glover,"The lady goes, 'Someone betta get this little niglet away from me.'"
Donald_Glover_2,"I can’t do it, I can’t do it, I’m not… in love yet. That was me in a domestic dispute with my… with my butt."
Hasan_Minhaj,Have you seen the show called The Slap? This is a real show on NBC. This is a real show about a white kid that gets slapped at a birthday party.
Hasan_Minhaj,Are you fucking kidding? Thirteen episodes for this kid? Are you kidding me? Do you know when br0wn kids get slapped? Every br0wn birthday party.
Hasan_Minhaj,"And usually it’s the kid whose birthday it is, and we stand there and point and laugh."
Hasan_Minhaj_2,"I’m like, 'All 30 of us? We’re all going to prom? AP Calc? Me, Jehovah’s Witness girl, Korean exchange students, going to the prom? Thirty for 30? All of us?'"
Hasan_Minhaj_2,"He’s like, 'Hanson, this is not funny.' He walks over to the board, he pulls it down. It’s March Madness for nerds."
Iliza_Shlesinger,"And you start talking, maybe you have some drinks, maybe you dance, maybe you exchange numbers, maybe you start to date. Now, I happen to think the very beginning of a new relationship is the most exciting part of the relationship."
Iliza_Shlesinger,"Granted, I’m not married yet, so, technically, I’ve only had beginnings of relationships."
Iliza_Shlesinger,I don’t know. I can’t say empirically how fun being married is. I’ll tell you on the next comedy special what that’s all about.
Iliza_Shlesinger_2,"It’s like, “Maybe she wants me. I don’t know. Oh, my god.”"
Iliza_Shlesinger_2,"You don’t want to wear your civilian clothes, okay."
Iliza_Shlesinger_2,No means no.
Iliza_Shlesinger_2,"You show up in that, he’ll be, like, “Oh, my god!”"
Jim_Gaffigan,"I am now at the size, when I go in clothing stores sales people look at me like, “We got nothing for you. And you can’t use our bathroom.”"
Jim_Gaffigan,"When I go out to eat, if I order a salad, the waiter’s always like, “Aw. Look at you try.”"
Jim_Gaffigan,"I don’t care. I like to eat. You know, when you like to eat, what’s weird is people assume you enjoy cooking."
Jim_Gaffigan_2,"Recently, I was invited to a surprise birthday party. It was a surprise birthday party for a dog."
