comedian,sentence
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.
Anthony_Jeselnik,"I never get to see my family anymore, really. Most of them are in jail, to be honest."
Anthony_Jeselnik,My mom would act weird when I brought a black friend over.
Anthony_Jeselnik,"She’d pull me aside and say, ‘Anthony, who’s your new friend? Is he a drug dealer?"
Anthony_Jeselnik,"I never get to see my family anymore, really."
Anthony_Jeselnik,My testimony.
Anthony_Jeselnik_2,I've never talked to a group of people without getting paid a lot of money. How should I handle this?
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word."
Ali_Wong,It was like the worst experience of my life.
Ali_Wong,The manual. She don\'t even know where the calculator is.
Ali_Wong,It was this calculator that bamboozled my generation. We were all required to buy it when we were in eight grade. It cost like $200
Ali_Wong,"And my mom got so emotional about the manual and she was like, ‘You never know when you might need this."
Ali_Wong_2,I’m just kidding. She doesn’t have any black friends.
Ali_Wong_2,"Old Asian ladies, they don’t give a fuck. They got no shame. They’re like, ‘I’m just gonna recycle… go bald… go to the park, do this shit."
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity
Chelsea_Peretti,"It\'s like that wedding portraiture, where it\'s just like, two assholes back to back in the woods, just like… \'To the future!\' I\'m just obsessed with the entire photoset. I\'m just like, \'Next, next, next, next, more, more, more, more.\"
Chelsea_Peretti,"That same girl on Facebook, all her posts and all her updates are about her husband. That\'s all she seems to write or think about, but she doesn\'t call him her husband, which would be awesome, and she"
Chelsea_Peretti_2,People say I look just like you.
Chelsea_Peretti_2,"It's actually to stop them from sweating, because why would you, you know, as a human?"
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole"
Chelsea_Peretti_2,"I\'m so drawn to you, but I can\'t get near you! This is a whole new kind of juicy booty"
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?"
Donald_Glover,The sweetest thing he was allowed was mints
Donald_Glover,"It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They’re all Trinidadian babysitters."
Donald_Glover_2,"Oh, this is awful, this is so messed up. I can’t believe this happened so close to us"
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em."
Donald_Glover_2,"You can shit on command? Like, you can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God, no!” Like… You can poop whenever you want? Like, you got… You’re a national treasure. Like, you can… You got more"
Hasan_Minhaj,"""Are you fucking kidding? Thirteen episodes for this kid? Are you kidding me? Do you know when br0wn kids get slapped? Every br0wn birthday party."
Hasan_Minhaj,"That kid won\'t choke on camera. He\'s been slapped on camera. Of course he can spell ""knaidel"". Knaidel. Look at that face. Nothing. Nothing! He\'s 12 years old. Nothing"
Hasan_Minhaj,"People say, \'Where\'s Bobby Jindal from?\' That\'s where he comes from. That is an Indian sociopath."
Hasan_Minhaj_2,"I know, getting into Stanford."
Hasan_Minhaj_2,"You have to live a life worth talking about, which is why I’m making it mandatory for everyone in this class to go to prom."
Hasan_Minhaj_2,"Whatever, it’s not going to happen. He can’t do this."
Iliza_Shlesinger,The beginning of a relationship is the most exciting part of the relationship.
Iliza_Shlesinger,"It’s interesting, in your 20s, it’s a weird mental game. Boy’s coming over for the first time, you’re trying to reconcile the beautiful home that your mother kept that you lived in growing up, with the beautiful home that, like, Pinterest says you’re supposed to have."
Iliza_Shlesinger,"You want him to come in and be, like, “It’s so homey. I’d like to stay forever.” Yes, come"
Iliza_Shlesinger_2,You don’t want to wear… what you wore during the day.
Iliza_Shlesinger_2,"You don’t want to wear your civilian clothes, okay.""\n- ""I don’t mean no, but… no means no."
Iliza_Shlesinger_2,"It’s frustrating. You know, girls, it’d be like if you have the worst day, you came home to your boyfriend, like… ‘I had the worst day. I got fired, and… I cried in front of everyone and… I ate that French fry from my car. It was just such a hard"
Jim_Gaffigan,"That doesn’t seem fair. I am now at the size, when I go in clothing stores sales people look at me like, “We got nothing for you. And you can’t use our bathroom.”"
Jim_Gaffigan,"I like to sleep. It doesn’t mean I wanna build a bed. The truth is, I don’t like to do anything."
Jim_Gaffigan,"Well, you must love to cook. Look, I like to sleep. It doesn’t mean I wanna build a bed."
Jim_Gaffigan_2,"That’s not how dogs keep track of time. If you have a dog, you know they don’t keep track of time."
Jim_Gaffigan_2,"There’s not a dog sitting in a bar right now going, ‘I’m not three, I’m 21! I can legally drink!’ That’s not how dogs keep track of time."
Jim_Gaffigan_2,The dog didn’t know it was his birthday. The dog didn’t know it had a birthday. The dog wasn’t sure why people were in the apartment.
Joe_List,"I\'m Bill, this is Susan, and Ted. ""Ear, nose, throat. ""Who do ya need?"
Joe_List,Tin-uh-dus. That\'s when you\'re ears ring. You got it?
Joe_List,This guy\'s a fake ass fucking retard doctor. It\'s pronounced t-ah-n-i-tus.
Joe_List,"Tomato, to-mah-to. However you say it. If you have it, don\'t go to the doctor, they don\'t do shit"
Joe_List_2,"This one guy behind, you’re like what a fucking idiot back there."
Joe_List_2,"I want him to die, I swear to God."
Joe_List_2,"You don’t need to make a noise when you yawn. That’s a decision, he’s deciding to do that."
Joe_List_2,I like to let people know when I’m hungry. I think it’s important for people to know that.
Joe_List_2,You’re gonna die!
John_Mulaney,"It’s good to give to charities, you know"
John_Mulaney,"Of course I did! On an unrelated note, I’m going to walk out the front door right now"
John_Mulaney,This one’s shirts. I got a bunch of shirts! Take ’em away!
John_Mulaney,"Well, if it’s too big you can just wear it as a sleep shirt."
John_Mulaney,"Oh, I get it. So rather than violate these meaningless politeness rules, I’ll just go to bed in a smock like goddamn Ebenezer Scrooge"
John_Mulaney_2,"The greatest assembly of them all, once a year, Stranger Danger."
John_Mulaney_2,"Detective JJ Bittenbinder wore three-piece suits. He also wore a pocket watch. Two years in a row, he wore a cowboy hat. He also had a huge handlebar mustache. None of that matters, but it’s important to me that you know that."
John_Mulaney_2,He did not look like his job description. He looked like he should be the conductor on a locomotive powered by confetti.
Jimmy_Yang,"Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping."
Jimmy_Yang,I’m 5′ 5″. I just go to concerts to smell other people’s armpits.
Jimmy_Yang,Are you guys aware of that? I’m 5′ 5″. I just go to concerts to smell other people’s armpits.
Jimmy_Yang_2,"Old Asian people, they don’t watch TV. They judge the TV."""
Jimmy_Yang_2,"He’s just sitting there, arms folded, judging the TV like–He’s made some random noises around the house."
Jimmy_Yang_2,"It’s just like, achoo! Oh! Ay, shit.Oh! I’m like, what the fuck, Dad, just have an orgasm? What was that?"
Jimmy_Yang_2,He doesn’t understand what I’m saying half the time
Louis_CK,He was?
Louis_CK,I don't think so.
Louis_CK,"That\'s okay, it already happened."
Louis_CK,"You fucking think about it, you idiot. What d– What was he then? You\'re… What, was he Presbyterian? What was he? Catholic? Okay, Jesus was Catholic and he had a gold chain with a cross."
Louis_CK,That finally makes sense. I didn\'t even know
Louis_CK_2,"Dogs are so dumb, it’s fucking tragic."
Louis_CK_2,They’re so stupid! Incredibly stupid animals.
Louis_CK_2,"I don’t even know my own life, I don’t even — I can’t even handle my own life mentally."
Louis_CK_2,"There it is, right there. It’s right there"
Nate_Bargatze,I\'ve never thought about an author a day in my life.
Nate_Bargatze,"She\'s on her iPad a lot. You know, that\'s the hard part. You got to get these kids off... You don\'t want technology all the time."
Nate_Bargatze,It\'s not like a show. I\'d be fine if she watched a show.
Nate_Bargatze,"She watches kids playing with toys. Like, that\'s what\'s crazy."
Nate_Bargatze_2,Homework\'s fun. First and second grade was awesome.
