comedian,sentence
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday."
Anthony_Jeselnik,"We were poor. So poor I remember, just so I could go to my senior prom, I had to sell my U.S. passport on the street."
Anthony_Jeselnik,"Sold my passport on the street for 300 bucks to go to my prom. Of course, this was before 9/11 so… my bad, everybody."
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11. I think.
Anthony_Jeselnik,My mom could be very racist. Very racist. And I do not tolerate racism. That’s ignorance and I hate that.
Anthony_Jeselnik,"Once in a while, I’d bring a black friend over. And when I did that, my mom would act weird. She’d pull me aside and say, ‘Anthony, who’s your new friend? Is he a drug dealer?’ And I would say, ‘Shut up, Mom, that’s racist. Put your money away.’"
Anthony_Jeselnik,"I never get to see my family anymore, really. Most of them are in jail, to be honest. And we never talk, write letters or any of that shit. ‘Cause they’re all in jail for the exact same thing. My testimony."
Ali_Wong,"The last time I was at home in San Francisco, I was trying to help her get rid of shit. Don’t ever do that with your mom. It was like the worst experience of my life."
Ali_Wong,It all came to a climax when she refused to let go of a Texas Instruments TI-82… manual. The manual. She don’t even know… where the calculator is.
Ali_Wong,Those of you under 25 probably don’t know what that calculator is. It was this calculator that bamboozled my generation. We were all required to buy it when we were in eighth grade. It cost like $200.
Ali_Wong,And everybody thought it was like this Judy Jetson’s laptop from the future. All because what? It could graph. It was like the Tesla of my time.
Ali_Wong,"And my mom got so emotional about the manual and she was like, ‘You never know when you might need this.’ And I was like, ‘But… I do know… that I’m gonna have to clean all this shit up when you die.’"
Ali_Wong,"And I’m not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that’s not the way for me to achieve my optimum level of success.’"
Hasan_Minhaj,Have you seen the show called The Slap? This is a real show on NBC. This is a real show about a white kid that gets slapped at a birthday party. Are you fucking kidding? Thirteen episodes for this kid?
Hasan_Minhaj,"Do you know when brown kids get slapped? Every brown birthday party. And usually it’s the kid whose birthday it is, and we stand there and point and laugh. We go, 'Ah, Biju got slapped on his birthday!'"
Hasan_Minhaj,And that’s what makes us tough and resilient. It’s why we become cardiologists and win spelling bees. Slapping is important. It elevates your game.
Hasan_Minhaj,You ever seen an Indian kid win a spelling bee? Incredible! Ice water in the veins. That kid won’t choke on camera. He’s been slapped on camera.
Hasan_Minhaj,Of course he can spell ‘knaidel’. Knaidel. Look at that face. Nothing. Nothing! He’s 12 years old. Nothing!
Hasan_Minhaj,"This kid just won $30,000 cash. Nothing. People ask, 'Where does that come from?' Look at this kid’s parents."
Hasan_Minhaj,"Look at his brother. His brother is like, 'I’m fucked. I’m fucked. The bar is way too high. I should kill myself.'"
Hasan_Minhaj,"People say, 'Where’s Bobby Jindal from?' That’s where he comes from. That is an Indian sociopath."
Joe_List,"So I went to the ear, nose, throat doctor, which is a cool doctor. It’s one doctor. He knows all three body parts. I was hoping it was three doctors saving money by sharing a small office. He’s like, ‘I’m Bill, this is Susan, and Ted. Ear, nose, throat. Who do ya need?’"
Joe_List,"I went for my ear, I have an ear issue called tinnitus, or tin-uh-dus. That’s when your ears ring. You got it? Yeah, it’s frustrating."
Joe_List,"I thought it was called tinnitus, but then I watched a YouTube video, and the doctor in the video, he kept saying ‘tin-uh-dus.’ And so I was like, ‘Oh, I guess it’s pronounced tin-uh-dus.’ But then I went to the comments section, and the first comment said, ‘This guy’s a fake ass fucking retard doctor. It’s pronounced t-ah-n-i-tus.’ All caps."
Joe_List,"This gentleman is a doctor, he seems very smart. This fella seems less smart, but extremely adamant about the pronunciation of this word."
Joe_List,"I went to the doctor, I was like, ‘Doc, I have uh, tinnitus, or tin-uh-dus. Whatever you guys are calling it. My ears are ringing.’ And then he said, ‘Okay, I’m gonna test your hearing.’ And I was like, ‘Oh no, that’s okay. My hearing is great. I hear everything, plus ringing, so...’"
Joe_List,"‘I kind of have superpower hearing, if you think about it. I’m hearing shit that’s not even in the room.’"
John_Mulaney,"My wife and I just gave a bunch of stuff to Goodwill. We were moving apartments, we had a bunch of clothes and furniture, so we made a whole day out of it. We made these big piles of clothes, we put the piles into these big boxes, then we put the boxes into the back of my car, and then they stayed there for four months."
John_Mulaney,"And then one day my wife said, 'Hey, you took that stuff to Goodwill, right?' And I said, 'Of course I did! On an unrelated note, I’m going to walk out the front door right now.'"
John_Mulaney,"So then I had to speed to Goodwill really fast. It was charitable, but it was also fast and violent, because I was throwing boxes at people. The boxes were so heavy I couldn’t even say what was in them. I was like, 'This one’s shirts. I got a bunch of shirts! Take ’em away!'"
John_Mulaney,"The guy tried to give me a big receipt. He’s like, 'Take this receipt for the clothing for your taxes.' How do I write that on my taxes? 'Dear IRS, please deduct from my federal income tax one XXL Billabong T-shirt from youth.'"
John_Mulaney,It was too big. My mom said it could be a sleep shirt. Please deduct this from my 2017 income.' That sleep shirt bullshit.
John_Mulaney,"Well, if it’s too big you can just wear it as a sleep shirt.' No, I get that, Mom, but why don’t we just tell our relatives that I’m a four-year-old boy and I don’t wear a man’s XXL T-shirt?"
John_Mulaney,"So rather than violate these meaningless politeness rules, I’ll just go to bed in a smock like goddamn Ebenezer Scrooge. Why don’t you give me a candle for looking in the mirror and a floppy hat and I’ll tremble off to bed in my long Victorian nightgown?"
John_Mulaney,"Was there ever even a ghost, Mother, or was the dead Victorian girl you saw just me all along?"
Jimmy_Yang,"Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping."
Jimmy_Yang,"I’ve been dating a lot of tall girls lately, because it makes me look successful."
Jimmy_Yang,"Some of them like to wear heels. That’s just disrespect. Like, you’re already five inches taller than me. Why the fuck are you wearing heels?"
Jimmy_Yang,"She’s like, it makes my ass look better. I’m like, your ass is at my eye level right now. Neither of us look good, OK? I look like a child, and you look like a child molester."
Jimmy_Yang,"Last time I took a tall girl to a concert... apparently, tall people have fun at concerts. Are you guys aware of that?"
Jimmy_Yang,"I’m 5′ 5″. I just go to concerts to smell other people’s armpits. I’m like, what the fuck’s the point of this?"
Jimmy_Yang,"She was having the time of her life, doing whatever tall people do at concerts, you know, jumping around, obstructing other people’s views, seeing everything."
Jimmy_Yang,"I was frustrated. I had enough. So I just looked up at her, I was like, hey! Pick me up. This is bullshit. I paid for these tickets, OK? I want to see Billie Eilish, too. Come on."
Russell_Peters,"My doctor says, hey, what else is wrong with you? I go, what do you mean what else is wrong with me? He goes, look, you’re a 48-year-old Indian man. I’m like, that’s really fucking racist..."
Russell_Peters,There’s no way you can be Indian and not have fucking acid reflux. It’s inevitable.
Russell_Peters,"There’s no way you can consume the food that we eat with that much spice, and that much oil, and that much butter, and not just have it burn a hole in your– as my dad would say– your esophagus."
Russell_Peters,"Dad, I want to assure you I have no phagus in me. No, no, son, esophagus. I don’t care whose phagus you think this is."
Russell_Peters,"I’m looking at all of you, especially all the pudgy guys. You got it, don’t you, yellow guy? You do, do you. He’s like, I know, I have it, but I don’t want to say because my shirt looks like turmeric."
Chelsea_Peretti,A friend of a friend just posted like 500 engagement photos on Facebook. It was a photoset of 500 photos. I’m not exaggerating.
Chelsea_Peretti,"It’s like that wedding portraiture, where it’s just like, two assholes back to back in the woods, just like… 'To the future!'"
Chelsea_Peretti,"Every photo, they were just like… 'Uh-oh, it’s us again."
Chelsea_Peretti,"This same girl on Facebook, all her posts and all her updates are about her husband. That’s all she seems to write or think about."
Chelsea_Peretti,"She doesn’t call him her husband, which would be awesome, and she doesn’t call him by his name, which would also be great."
Chelsea_Peretti,"She calls him by a word that I really feel is one of the more disgusting words in the English language. She calls him her 'hubby,' which, to me, is on par with the 'N' word."
Chelsea_Peretti,"""All her updates, she’s just like, 'My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.'"
Chelsea_Peretti,"I just keep waiting for the day where she is like, 'My hubby shot himself in the face! His letter said he missed his name… which I just found out is Steven. Missing my hub like a mug.'"
Trevor_Noah_2,Nelson Mandela was destined for greatness because of that voice. He could not be a normal man with a voice like that.
Trevor_Noah_2,You can’t do normal things with that voice. You are destined for greatness.
Trevor_Noah_2,"You can’t be running in the streets: 'And a Kit Kat, please.' No. No."
Trevor_Noah_2,"What are you making, prank phone calls? 'Who the hell is this?!' 'I’m not telling you.' [laughs] It just doesn’t work."
Trevor_Noah_2,"I remember when Nelson Mandela was still alive, and he would tell jokes at press conferences and events, and no one would laugh. Because everyone thought a man who had been in jail for 27 years couldn’t make a joke."
Trevor_Noah_2,"He would tell the joke, and it would just sound too epic for people to laugh."""
Trevor_Noah_2,"Everything he did, he’d just be like, 'Ah, knock, knock.' People would be like, 'Let him in. Let him in!'"
Trevor_Noah_2,"No. No, no. You must say, ‘Who’s there?’"
Trevor_Noah_2,"He is so right. We’ve always got to ask, ‘Who’s there?’ Who’s here? Who are we?' Oh, my God!"
Sam_Morril_2,"I thought of a good pro-cigarette commercial... A hot girl walks up to a guy in the bar and asks to bum a cigarette, and he goes, oh, I don’t smoke. So then she goes outside and bums them from another guy, and they go home together and they fuck and that’s the whole commercial. There at the end, it just says, ‘Wouldn’t kill you to carry a pack,’ you know? Marlboro: Just in Case."
Sam_Morril_2,"My friend just had one, and her boyfriend didn’t contribute to the cost, which I thought was not cool, you know?... That is how low the bar is. I’m like, guy should pay a little bit for the abortion, and women are like, he’s a hero. He really is."
Sam_Morril_2,"Even the most pro-life person I talk to was like, wow, chivalry is dead. That was the baby’s name, Chivalry."
Sam_Morril_2,I did that joke the other night and somebody yelled out boo. I thought it was the baby’s ghost.
Sam_Morril_2,"If I knock you up and you need an abortion, it’s on the house. I’ll throw my Delta SkyMiles card right on the counter. Are you sure, Sam? I got this."
Sam_Morril_2,I’m two to three abortions away from Diamond Medallion status.
Sam_Morril_2,"I think you should get extra SkyMiles points with an abortion, because that’s one less crying baby onboard, you know?"
Sam_Morril_2,"I don’t like doing that part of the joke, but I have a sponsorship deal with Delta, and you know, they get very upset when I leave it out. They dock me Biscoff cookies."
Sam_Morril_2,"I was talking to a guy after a show. He told me there was gonna be an anti-abortion parade, which I think he meant to say march, you know?"
Sam_Morril_2,"If there is, I’ll be there. I want to see what the floats look like. That one looks unfinished. That’s what we’re going for."
