comedian,sentence
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.
Anthony_Jeselnik,"I never get to see my family anymore, really. Most of them are in jail, to be honest."
Anthony_Jeselnik,"And we never talk, write letters or any of that shit."
Anthony_Jeselnik_2,I\'ve never talked to a group of people without getting paid a lot of money. How should I handle this?
Anthony_Jeselnik_2,"Anthony, just go up there and tell a story. Find one moment about you and your grandma you can share with everybody. And don\'t tell a joke. Try not to."
Anthony_Jeselnik_2,"You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain'"
Ali_Wong,It was like the worst experience of my life.
Ali_Wong,I was screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual.
Ali_Wong,It was this calculator that bamboozled my generation.
Ali_Wong,I was like the Tesla of my time.
Ali_Wong,"And my mom got so emotional about the manual and she was like, “You never know when you might need this."
Ali_Wong,"I\'m not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that\'s not the way for me to achieve my optimum level of success."
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit."
Ali_Wong_2,I’m not trying to be one of those old Chinese ladies who recycles for a living
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.
Chelsea_Peretti,To the future!
Chelsea_Peretti,"Uh-oh, it\'s us again."
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out."""
Chelsea_Peretti_2,People say I look just like you.
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole."
Chelsea_Peretti_2,"Whoa, whoa, whoa!"
Donald_Glover,What the fuck is wrong with this kid?
Donald_Glover,Hello!
Donald_Glover,Shut up.
Donald_Glover,Suck my d!ck!
Donald_Glover_2,"Oh, this is awful, this is so messed up. I can’t believe this happened so close to us"
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em."
Donald_Glover_2,"Oh God, no!"
Donald_Glover_2,"I can’t do it, I can’t do it, I’m not… Me and my butt are, like, always on the third date, I feel like. I feel like, me, I’m always like, come on, let’s…'"
Hasan_Minhaj,"Ah, Biju got slapped on his birthday!"
Hasan_Minhaj,"That kid won $30,000 cash. Nothing."""
Hasan_Minhaj,I\'m fucked. I\'m fucked. The bar is way too high. I should kill myself.
Hasan_Minhaj,"That\'s where he comes from. That is an Indian sociopath."""
Hasan_Minhaj_2,"Alright, you guys are all killing it academically but I want you to know there is more to life than just getting into UC Berkeley."
Hasan_Minhaj_2,"I know, getting into Stanford."
Hasan_Minhaj_2,"No, you have to live a life worth talking about, which is why I’m making it mandatory for everyone in this class to go to prom."
Hasan_Minhaj_2,"Hanson, this is not funny."
Hasan_Minhaj_2,"Whatever, it\'s not going to happen. He can\'t do this."
Iliza_Shlesinger,It\'s so homey. I\'d like to stay forever.
Iliza_Shlesinger,"Welcome to Fuckdome, Scott"
Iliza_Shlesinger,It\'s so hard. It\'s so hard.
Iliza_Shlesinger_2,"You don’t want to wear your civilian clothes, okay."
Iliza_Shlesinger_2,No means no.
Iliza_Shlesinger_2,"It’s frustrating. You know, girls, it’d be like if you have the worst day, you came home to your boyfriend, like… ‘I had the worst day. I got fired, and… I cried in front of everyone and… I ate that French fry from my car. It was just such a hard day.’ Your boyfriend’s like, ‘Aw, babe.You want to talk about it?"
Jim_Gaffigan,"That doesn\'t seem fair. I am now at the size, when I go in clothing stores sales people look at me like, \'We got nothing for you. And you can\'t use our bathroom"
Jim_Gaffigan,I like to sleep. It doesn\'t mean I wanna build a bed.
Jim_Gaffigan,I know where the food is.
Jim_Gaffigan,"Look, I like to cook. Look, I like to sleep."
Jim_Gaffigan_2,"That’s not how dogs keep track of time. You’ve left your home, forgotten something, walked back in only to be greeted by your dog like you’ve just returned from war."
Jim_Gaffigan_2,"I’m not three, I’m 21! I can legally drink!"
Jim_Gaffigan_2,"Oh, one year equals seven for doggies?"
Jim_Gaffigan_2,"There’s not a dog sitting in a bar right now going, “I’m not three, I’m 21! I can legally drink!"
Joe_List,"I\'m Bill, this is Susan, and Ted. ""Ear, nose, throat. ""Who do ya need?"
Joe_List,"I have an ear issue called, tinnitus, or tin-uh-dus."
Joe_List,This guy\'s a fake ass fucking retard doctor. It\'s pronounced t-ah-n-i-tus.
Joe_List,"Oh, I guess it\'s pronounced tin-uh-dus."
Joe_List,"I went to the doctor I was like ""Doc, I have uh, tinnitus, or tin-uh-dus."
Joe_List_2,You don’t need to make a noise when you yawn.
Joe_List_2,It’s a trap.
Joe_List_2,"I’m a rock and roll guy. I love Guns N’ Roses, I’m cool."
Joe_List_2,"Du du du du du du du du, aah!"
John_Mulaney,"My wife and I just gave a bunch of stuff to Goodwill. We made these big piles of clothes, we put the piles into these big boxes, then we put the boxes into the back of my car, and then they stayed there for four months"
John_Mulaney,"And then one day my wife said, “Hey, you took that stuff to Goodwill, right?” And I said, “Of course I did! On an unrelated note, I’m going to walk out the front door right now."
John_Mulaney,I got a bunch of shirts! Take ’em away!
John_Mulaney_2,"The greatest assembly of them all, once a year, Stranger Danger."
John_Mulaney_2,You are gathered together as a school and you are told never to talk to an adult that you don’t know and you are told this by an adult that you don’t know.
John_Mulaney_2,"Detective JJ Bittenbinder wore three-piece suits. He also wore a pocket watch. Two years in a row, he wore a cowboy hat. He also had a huge handlebar mustache. None of that matters, but it’s important to me that you know that."
Jimmy_Yang,"Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping."
Jimmy_Yang,"I’ve been dating a lot of tall girls lately, because it makes me look successful. No, no. I think tall women are beautiful. But some of them like to wear heels. That’s just disrespect."
Jimmy_Yang,"Last time– the last time I took a tall girl to this concert– I don’t know if you guys know this, but apparently, tall people have fun at concerts."
Jimmy_Yang_2,"Old Asian people, they don’t watch TV. They judge the TV"
Jimmy_Yang_2,"He’s just sitting there, arms folded, judging the TV like–He’s made some random noises around the house."
Jimmy_Yang_2,"It’s just like, achoo! Oh! Ay, shit.Oh! I’m like, what the fuck, Dad, just have an orgasm? What was that?"
Jimmy_Yang_2,He doesn’t understand what I’m saying half the time.
Jimmy_Yang_2,"He’s like, oh, there’s an orgasm"
Louis_CK,He was?
Louis_CK,I don\'t think so.
Louis_CK,"That\'s okay, it already happened."
Louis_CK,"You fucking think about it, you idiot."
Louis_CK,"What d– What was he then? You\'re… What, was he Presbyterian? What was he? Catholic? Okay, Jesus was Catholic and he had a gold chain with a cross."
Louis_CK,That finally makes sense. I didn\'t even know.
Louis_CK,"Oh, fuck, that\'s me! I\'m the little guy on it!"
Louis_CK_2,"Dogs are so dumb, it’s fucking tragic."
Louis_CK_2,They’re in our lives and they know nothing about what’s happening.
Louis_CK_2,"You ever been having, like, a dramatic moment in your family, like, you’re in the living room telling the kids that grandma died, and everybody’s crying, and the dog’s sitting there like…“I know you! Ha!”"
Louis_CK_2,They’re so stupid! Incredibly stupid animals
Nate_Bargatze,"Did you name her after Harper Lee, the author of To Kill a Mockingbird?"
Nate_Bargatze,She’s on her iPad a lot.
Nate_Bargatze,It’s not like a show. I’d be fine if she watched a show.
Nate_Bargatze,You want to see me open it?
Nate_Bargatze_2,Homework\'s fun.
Nate_Bargatze_2,"Okay, learning it earlier than we used to, huh?"
Nate_Bargatze_2,It\'s a whole new math.
Nate_Bargatze_2,Oh! Just do that at the top. I don\'t even know what we\'re doing.
Nate_Bargatze_2,It\'s a long way to get at the same answer.
Nate_Bargatze_TK,"It goes clown, then magic."
