comedian,sentence
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday."
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11.
Anthony_Jeselnik,"When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over."
Anthony_Jeselnik_2,I\'ve never talked to a group of people without getting paid a lot of money. How should I handle this?
Anthony_Jeselnik_2,"Anthony, just go up there and tell a story. Find one moment about you and your grandma you can share with everybody. And don\'t tell a joke. Try not to."
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’’ word. "
Ali_Wong,It was like the worst experience of my life.
Ali_Wong,Those of you under 25 probably don’t know what that calculator is.
Ali_Wong,I\'m like the Tesla of my time.
Ali_Wong,"I\'m not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that\'s not the way for me to achieve my optimum level of success."
Ali_Wong_2,Cause she knows that she’s got a century more to go.
Ali_Wong_2,I’m just kidding. She doesn’t have any black friends.
Ali_Wong_2,Old Asian ladies and the sun are like the Tupac and Biggie of longevity.
Chelsea_Peretti,To the future!
Chelsea_Peretti,"Uh-oh, it\'s us again."
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out."""
Chelsea_Peretti_2,People say I look just like you.
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole."
Chelsea_Peretti_2,"Whoa, whoa, whoa!"
Donald_Glover,What the fuck is wrong with this kid?
Donald_Glover,Hello!
Donald_Glover,Shut up.
Donald_Glover,Suck my d!ck!
Donald_Glover_2,"Oh, this is awful, this is so messed up. I can’t believe this happened so close to us"
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em."
Donald_Glover_2,"You can shit on command? Like, you can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God, no!” Like… You can poop whenever you want? Like, you got… You’re a national treasure. Like, you can… You got more'"
Hasan_Minhaj,"Ah, Biju got slapped on his birthday!"
Hasan_Minhaj,That kid won\'t choke on camera. He\'s been slapped on camera.
Hasan_Minhaj,Look at that face. Nothing. Nothing!
Hasan_Minhaj,I\'m fucked. I\'m fucked. The bar is way too high. I should kill myself.
Hasan_Minhaj,"That\'s where he comes from. That is an Indian sociopath."""
Hasan_Minhaj_2,"Alright, you guys are all killing it academically but I want you to know there is more to life than just getting into UC Berkeley."
