comedian,sentence
Anthony_Jeselnik,"""When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday."""
Anthony_Jeselnik,"""When I was a kid, we were poor. So poor I remember, just so I could go to my senior prom, just so I could go to my senior prom, I had to sell my U.S. passport on the street."""
Anthony_Jeselnik,"""My mom actually should’ve been on one of the planes that crashed"
Anthony_Jeselnik_2,"""I've never talked to a group of people without getting paid a lot of money. How should I handle this?"""
Anthony_Jeselnik_2,"""Anthony, just go up there and tell a story. Find one moment about you and your grandma you can share with everybody. And don't tell a joke. Try not to."""
Anthony_Jeselnik_2,"""You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she"
Ali_Wong,"""It was like the worst experience of my life."""
Ali_Wong,"""It was so emotional."""
Ali_Wong,"""I don’t even know where the calculator is."""
Ali_Wong,"""Those of you under 25 probably don’t know what that calculator is."""
Ali_Wong,"""It was like the Tesla of my time."""
Ali_Wong,The sentences with the shortest length are:
Ali_Wong,"- ""It was like the worst experience of my life."""
Ali_Wong,"- ""I don’t even know where the calculator is."""
Ali_Wong,-
Ali_Wong_2,"""I'm just kidding."""
Ali_Wong_2,"""Life is not Rush Hour, the movie, OK?"""
Ali_Wong_2,"""I'm not trying to be one of those old Chinese ladies who recycles for a living."""
Ali_Wong_2,"""Old Asian ladies and the sun are like the Tupac and Biggie of longevity."""
Ali_Wong_2,"""I'm not trying to be one of those old Chinese ladies who recycles for a living"
Chelsea_Peretti,- It was a photoset of 500 photos.
Chelsea_Peretti,- To the future!
Chelsea_Peretti,"- Uh-oh, it’s us again."
Chelsea_Peretti,- My hubby made breakfast.
Chelsea_Peretti,- My hubby fixed the door.
Chelsea_Peretti,- My hubby is sleeping.
Chelsea_Peretti,"- He breathed in, he breathed out."
Chelsea_Peretti,The shortest sentences are:
Chelsea_Peretti,"- Uh-oh,"
Chelsea_Peretti_2,"- ""People say I look just like you."""
Chelsea_Peretti_2,"- ""It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole."""
Chelsea_Peretti_2,"- ""Whoa, whoa, whoa!"""
Chelsea_Peretti_2,These sentences are the shortest in the stand-up comedy transcript.
